hate_speech,counter_narrative,target,opposition,relatedness,specificity,toxicity,fluency
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"Blaming Asian and African nations for ocean pollution ignores the fact that many developed countries export their waste to these regions. Climate change is a global issue that requires cooperation from all nations, not finger-pointing. Let's focus on solutions that involve everyone, rather than spreading misinformation.",other,5,5,4,5,5
"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’","Comparing people to weapons of mass destruction is not only absurd but also deeply offensive. Detroit's challenges are complex and rooted in economic and social factors, not the influence of any ethnic group. Let's focus on building communities through understanding and cooperation, not baseless blame.",JEWS,5,5,4,5,5
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Imagine thinking that 400,000 people could single-handedly drain a system designed to support millions. Maybe it's time to focus on the real issues, like ensuring everyone gets the help they need, regardless of where they're from.",MIGRANTS,4,5,3,5,5
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","Patriotism isn't defined by religion or ethnicity; it's about love and commitment to one's country. Many Jewish individuals have proudly served and contributed to their nations worldwide, demonstrating that allegiance is a personal choice, not dictated by stereotypes.",JEWS,5,5,4,5,5
"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.","Blaming a single group for global issues is like saying one ingredient ruins the whole recipe—it's just not how the world works. Terrorism and conflict are complex problems with many causes, including political, economic, and social factors. Let's focus on understanding these complexities rather than scapegoating entire communities.",JEWS,5,5,4,5,5
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Women have been leaders, scientists, and warriors throughout history, proving that strength and intelligence are not bound by gender. Emotions are a human trait, not a weakness, and they have driven progress in every civilization. Perhaps it's time to update your history books and join the 21st century.",WOMEN,5,5,4,5,5
"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","Seeing differences in people is not a mental illness; it's recognizing the beauty of diversity. Race may be a social construct, but cultural and individual uniqueness are real and worth celebrating. Embracing diversity enriches our understanding of the world and each other.",POC,5,5,4,5,5
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","Ah yes, because clearly the best way to show strength is by belittling others. Maybe instead of blaming women for your insecurities, try embracing equality and see how much more powerful collaboration can be.",WOMEN,5,5,4,5,5
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine powerful, white men. They are just envious, incompetent and useless.","Imagine being so insecure that you think equality is a threat. Maybe it's time to realize that strength isn't about holding others down, but lifting everyone up. Envy and incompetence? Sounds more like projecting than reality.",WOMEN,5,5,4,5,5
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Imagine thinking supremacy is a valid concept in any country—sounds like someone missed the memo on equality and human rights. Diversity isn't a threat; it's what makes societies thrive. Maybe it's time to embrace the 21st century and celebrate our differences instead of fearing them.,other,5,5,4,5,5
What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,"Comparing a cow to the Holocaust is not only insensitive but also deeply disrespectful to the millions who suffered and died. The Holocaust was a horrific event in human history, and trivializing it with such jokes only spreads ignorance and hate. Let's honor the memory of those lost by promoting understanding and compassion instead.",JEWS,5,5,4,5,5
We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,"Imagine thinking that half the population shouldn't have a say in the society they live in—sounds like a recipe for disaster, not progress. Women have been pivotal in shaping civilizations, from leading movements to innovating in science and technology. Maybe it's time to appreciate the strength in diversity rather than clinging to outdated stereotypes.",WOMEN,5,5,4,5,5
